"project_id","project_name","period_end","bac","pv","ev","ac","cpi","spi","cv","sv","eac","vac"
"PRJ-001","Composite Maritime Vessel Construction","2026-01-07","1500000","58500","58500","58500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-01-14","1500000","117000","117000","117000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-01-21","1500000","175500","175500","175500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-01-28","1500000","234000","234000","234000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-04","1500000","292500","292500","292500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-11","1500000","351000","351000","351000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-18","1500000","409500","409500","409500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-25","1500000","468000","468000","468000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-04","1500000","526500","526500","526500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-11","1500000","585000","585000","585000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-18","1500000","643500","643500","643500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-25","1500000","702000","702000","702000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-01","1500000","760500","760500","760500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-08","1500000","819000","819000","819000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-15","1500000","877500","877500","877500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-22","1500000","936000","936000","936000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-29","1500000","994500","994500","994500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-06","1500000","1053000","1053000","1053000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-13","1500000","1111500","1111500","1111500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-20","1500000","1170000","1170000","1170000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-27","1500000","1228500","1228500","1228500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-03","1500000","1287000","1287000","1287000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-10","1500000","1345500","1345500","1345500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-17","1500000","1404000","1404000","1404000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-24","1500000","1462500","1462500","1462500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-07","1500000","142500","142500","142500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-14","1500000","285000","285000","285000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-21","1500000","427500","427500","427500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-02-28","1500000","570000","570000","570000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-07","1500000","612000","612000","612000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-14","1500000","655500","655500","655500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-21","1500000","697500","697500","697500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-03-28","1500000","967500","967500","967500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-04","1500000","1237500","1237500","1237500","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-11","1500000","1500000","1500000","1500000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-07","1500000","195000","195000","195000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-14","1500000","390000","390000","390000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-21","1500000","585000","585000","585000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-04-28","1500000","780000","780000","780000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-05","1500000","975000","975000","975000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-12","1500000","1170000","1170000","1170000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-19","1500000","1365000","1365000","1365000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-05-26","1500000","1500000","1500000","1500000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-07","1500000","375000","375000","375000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-14","1500000","750000","750000","750000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-21","1500000","1125000","1125000","1125000","1","1","0","0","1500000","0"
"PRJ-001","Composite Maritime Vessel Construction","2026-06-28","1500000","1500000","1500000","1500000","1","1","0","0","1500000","0"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","2026-07-31","800000","0","0","0","1","1","0","0","800000","0"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","2026-07-31","800000","0","0","0","1","1","0","0","800000","0"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","2026-05-30","1200000","1080000","1080000","1080000","1","1","0","0","1200000","0"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","2026-05-30","1200000","0","0","0","1","1","0","0","1200000","0"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","2026-04-15","2000000","2000000","2000000","2000000","1","1","0","0","2000000","0"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","2026-04-15","2000000","1200000","1200000","1200000","1","1","0","0","2000000","0"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","2026-04-30","1000000","1000000","1000000","1000000","1","1","0","0","1000000","0"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","2026-04-30","1000000","875000","875000","875000","1","1","0","0","1000000","0"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","2026-03-31","600000","600000","600000","600000","1","1","0","0","600000","0"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","2026-03-31","600000","600000","600000","600000","1","1","0","0","600000","0"
