"project_id","project_name","sort_order","driver","value"
"PRJ-001","Composite Maritime Vessel Construction","1","BAC","1500000"
"PRJ-001","Composite Maritime Vessel Construction","2","AC","1080000"
"PRJ-001","Composite Maritime Vessel Construction","3","EV","1080000"
"PRJ-001","Composite Maritime Vessel Construction","4","CV","0"
"PRJ-001","Composite Maritime Vessel Construction","5","SV","0"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","1","BAC","800000"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","2","AC","576000"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","3","EV","576000"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","4","CV","0"
"PRJ-002","PRJ-002: Patrol Vessel Carbon Mold Design","5","SV","0"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","1","BAC","1200000"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","2","AC","864000"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","3","EV","864000"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","4","CV","0"
"PRJ-003","PRJ-003: Subsea Cable Installation Frame","5","SV","0"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","1","BAC","2000000"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","2","AC","1440000"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","3","EV","1440000"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","4","CV","0"
"PRJ-004","PRJ-004: Autonomous Workboat Hull Weldments","5","SV","0"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","1","BAC","1000000"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","2","AC","720000"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","3","EV","720000"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","4","CV","0"
"PRJ-005","PRJ-005: Defense Logistics Pontoon Build","5","SV","0"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","1","BAC","600000"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","2","AC","432000"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","3","EV","432000"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","4","CV","0"
"PRJ-006","PRJ-006: Lightweight Composite Cargo Hatch","5","SV","0"
