AssignmentID,WBS_ID,ResourceID,AllocatedHours
ASG-001,WBS-001,RES-001,100.0
ASG-002,WBS-001,RES-002,200.0
ASG-003,WBS-001,RES-003,100.0
ASG-004,WBS-002,RES-004,1000.0
ASG-005,WBS-002,RES-003,200.0
ASG-006,WBS-003,RES-005,600.0
ASG-007,WBS-003,RES-004,200.0
ASG-008,WBS-004,RES-002,100.0
ASG-009,WBS-004,RES-005,150.0
ASG-010,WBS-004,RES-001,50.0
ASG-011,WBS-008,RES-004,1000.0
ASG-012,WBS-009,RES-003,500.0
ASG-013,WBS-010,RES-004,2000.0
ASG-014,WBS-011,RES-001,250.0
ASG-015,WBS-012,RES-004,1000.0
ASG-016,WBS-013,RES-003,200.0
ASG-017,WBS-014,RES-004,500.0
