TimesheetID,ResourceID,WBS_ID,WorkDate,HoursWorked,ApprovalStatus
TS-0001,RES-001,WBS-001,2026-01-02,4.1,Approved
TS-0002,RES-001,WBS-001,2026-01-09,3.5,Approved
TS-0003,RES-001,WBS-001,2026-01-16,3.8,Approved
TS-0004,RES-001,WBS-001,2026-01-23,3.7,Approved
TS-0005,RES-001,WBS-001,2026-01-30,4.2,Approved
TS-0006,RES-001,WBS-001,2026-02-06,4.2,Approved
TS-0007,RES-001,WBS-001,2026-02-13,4.4,Approved
TS-0008,RES-001,WBS-001,2026-02-20,3.6,Approved
TS-0009,RES-001,WBS-001,2026-02-27,3.9,Approved
TS-0010,RES-001,WBS-001,2026-03-06,3.5,Approved
TS-0011,RES-001,WBS-001,2026-03-13,3.7,Approved
TS-0012,RES-001,WBS-001,2026-03-20,4.0,Approved
TS-0013,RES-001,WBS-001,2026-03-27,3.5,Approved
TS-0014,RES-001,WBS-001,2026-04-03,3.7,Approved
TS-0015,RES-001,WBS-001,2026-04-10,4.1,Approved
TS-0016,RES-001,WBS-001,2026-04-17,4.0,Approved
TS-0017,RES-001,WBS-001,2026-04-24,3.7,Approved
TS-0018,RES-001,WBS-001,2026-05-01,4.1,Approved
TS-0019,RES-001,WBS-001,2026-05-08,4.3,Approved
TS-0020,RES-001,WBS-001,2026-05-15,3.5,Approved
TS-0021,RES-001,WBS-001,2026-05-22,4.3,Approved
TS-0022,RES-001,WBS-001,2026-05-29,4.2,Approved
TS-0023,RES-001,WBS-001,2026-06-05,3.8,Approved
TS-0024,RES-001,WBS-001,2026-06-12,3.7,Approved
TS-0025,RES-001,WBS-001,2026-06-19,4.5,Approved
TS-0026,RES-001,WBS-001,2026-06-26,3.8,Approved
TS-0027,RES-002,WBS-001,2026-01-05,7.6,Approved
TS-0028,RES-002,WBS-001,2026-01-12,7.6,Approved
TS-0029,RES-002,WBS-001,2026-01-19,8.8,Approved
TS-0030,RES-002,WBS-001,2026-01-26,8.4,Approved
TS-0031,RES-002,WBS-001,2026-02-02,8.7,Approved
TS-0032,RES-002,WBS-001,2026-02-09,8.6,Approved
TS-0033,RES-002,WBS-001,2026-02-16,8.3,Approved
TS-0034,RES-002,WBS-001,2026-02-23,9.0,Approved
TS-0035,RES-002,WBS-001,2026-03-02,8.1,Approved
TS-0036,RES-002,WBS-001,2026-03-09,8.3,Approved
TS-0037,RES-002,WBS-001,2026-03-16,8.7,Approved
TS-0038,RES-002,WBS-001,2026-03-23,8.4,Approved
TS-0039,RES-002,WBS-001,2026-03-30,8.8,Approved
TS-0040,RES-002,WBS-001,2026-04-06,8.4,Approved
TS-0041,RES-002,WBS-001,2026-04-13,8.6,Approved
TS-0042,RES-002,WBS-001,2026-04-20,7.6,Approved
TS-0043,RES-002,WBS-001,2026-04-27,7.8,Approved
TS-0044,RES-002,WBS-001,2026-05-04,7.9,Approved
TS-0045,RES-002,WBS-001,2026-05-11,7.6,Approved
TS-0046,RES-002,WBS-001,2026-05-18,7.8,Approved
TS-0047,RES-002,WBS-001,2026-05-25,7.7,Approved
TS-0048,RES-002,WBS-001,2026-06-01,7.9,Approved
TS-0049,RES-002,WBS-001,2026-06-08,8.5,Approved
TS-0050,RES-002,WBS-001,2026-06-15,8.0,Approved
TS-0051,RES-002,WBS-001,2026-06-22,8.1,Approved
TS-0052,RES-002,WBS-001,2026-06-29,7.8,Approved
TS-0053,RES-003,WBS-001,2026-01-01,2.8,Approved
TS-0054,RES-003,WBS-001,2026-01-02,3.4,Approved
TS-0055,RES-003,WBS-001,2026-01-05,3.1,Approved
TS-0056,RES-003,WBS-001,2026-01-06,3.1,Approved
TS-0057,RES-003,WBS-001,2026-01-07,2.7,Approved
TS-0058,RES-003,WBS-001,2026-01-08,3.2,Approved
TS-0059,RES-003,WBS-001,2026-01-09,2.7,Approved
TS-0060,RES-003,WBS-001,2026-01-12,2.9,Approved
TS-0061,RES-003,WBS-001,2026-01-13,3.5,Approved
TS-0062,RES-003,WBS-001,2026-01-14,3.1,Approved
TS-0063,RES-003,WBS-001,2026-01-15,3.1,Approved
TS-0064,RES-003,WBS-001,2026-01-16,3.2,Approved
TS-0065,RES-003,WBS-001,2026-01-19,3.3,Approved
TS-0066,RES-003,WBS-001,2026-01-20,3.3,Approved
TS-0067,RES-003,WBS-001,2026-01-21,2.7,Approved
TS-0068,RES-003,WBS-001,2026-01-22,2.5,Approved
TS-0069,RES-003,WBS-001,2026-01-23,2.8,Approved
TS-0070,RES-003,WBS-001,2026-01-26,2.8,Approved
TS-0071,RES-003,WBS-001,2026-01-27,2.7,Approved
TS-0072,RES-003,WBS-001,2026-01-28,3.4,Approved
TS-0073,RES-003,WBS-001,2026-01-29,3.4,Approved
TS-0074,RES-003,WBS-001,2026-01-30,2.8,Approved
TS-0075,RES-003,WBS-001,2026-02-02,3.2,Approved
TS-0076,RES-003,WBS-001,2026-02-03,2.9,Approved
TS-0077,RES-003,WBS-001,2026-02-04,3.4,Approved
TS-0078,RES-003,WBS-001,2026-02-05,3.0,Approved
TS-0079,RES-003,WBS-001,2026-02-06,2.8,Approved
TS-0080,RES-003,WBS-001,2026-02-09,2.7,Approved
TS-0081,RES-003,WBS-001,2026-02-10,3.1,Approved
TS-0082,RES-003,WBS-001,2026-02-11,2.8,Approved
TS-0083,RES-003,WBS-001,2026-02-12,3.1,Approved
TS-0084,RES-003,WBS-001,2026-02-13,3.4,Approved
TS-0085,RES-003,WBS-001,2026-02-16,2.9,Approved
TS-0086,RES-003,WBS-001,2026-02-17,2.7,Approved
TS-0087,RES-003,WBS-001,2026-02-18,3.5,Approved
TS-0088,RES-003,WBS-001,2026-02-19,3.0,Approved
TS-0089,RES-003,WBS-001,2026-02-20,2.6,Approved
TS-0090,RES-003,WBS-001,2026-02-23,2.5,Approved
TS-0091,RES-003,WBS-001,2026-02-24,2.6,Approved
TS-0092,RES-003,WBS-001,2026-02-25,3.1,Approved
TS-0093,RES-003,WBS-001,2026-02-26,3.3,Approved
TS-0094,RES-003,WBS-001,2026-02-27,2.9,Approved
TS-0095,RES-004,WBS-002,2026-02-02,8.1,Approved
TS-0096,RES-004,WBS-002,2026-02-03,8.4,Approved
TS-0097,RES-004,WBS-002,2026-02-04,9.0,Approved
TS-0098,RES-004,WBS-002,2026-02-05,8.5,Approved
TS-0099,RES-004,WBS-002,2026-02-06,9.0,Approved
TS-0100,RES-004,WBS-002,2026-02-09,8.9,Approved
TS-0101,RES-004,WBS-002,2026-02-10,8.0,Approved
TS-0102,RES-004,WBS-002,2026-02-11,8.7,Approved
TS-0103,RES-004,WBS-002,2026-02-12,8.7,Approved
TS-0104,RES-004,WBS-002,2026-02-13,8.5,Approved
TS-0105,RES-004,WBS-002,2026-02-16,8.3,Approved
TS-0106,RES-004,WBS-002,2026-02-17,8.6,Approved
TS-0107,RES-004,WBS-002,2026-02-18,8.1,Approved
TS-0108,RES-004,WBS-002,2026-02-19,8.4,Approved
TS-0109,RES-004,WBS-002,2026-02-20,8.5,Approved
TS-0110,RES-004,WBS-002,2026-02-23,9.0,Approved
TS-0111,RES-004,WBS-002,2026-02-24,8.9,Approved
TS-0112,RES-004,WBS-002,2026-02-25,8.3,Approved
TS-0113,RES-004,WBS-002,2026-02-26,8.5,Approved
TS-0114,RES-004,WBS-002,2026-02-27,8.2,Approved
TS-0115,RES-004,WBS-002,2026-03-02,8.9,Approved
TS-0116,RES-004,WBS-002,2026-03-03,8.9,Approved
TS-0117,RES-004,WBS-002,2026-03-04,8.3,Approved
TS-0118,RES-004,WBS-002,2026-03-05,8.6,Approved
TS-0119,RES-004,WBS-002,2026-03-06,8.6,Approved
TS-0120,RES-004,WBS-002,2026-03-09,8.2,Approved
TS-0121,RES-004,WBS-002,2026-03-10,8.8,Approved
TS-0122,RES-004,WBS-002,2026-03-11,8.5,Approved
TS-0123,RES-004,WBS-002,2026-03-12,8.8,Approved
TS-0124,RES-004,WBS-002,2026-03-13,8.5,Approved
TS-0125,RES-004,WBS-002,2026-03-16,8.0,Approved
TS-0126,RES-004,WBS-002,2026-03-17,8.3,Approved
TS-0127,RES-004,WBS-002,2026-03-18,8.0,Approved
TS-0128,RES-004,WBS-002,2026-03-19,8.9,Approved
TS-0129,RES-004,WBS-002,2026-03-20,8.9,Approved
TS-0130,RES-004,WBS-002,2026-03-23,8.8,Approved
TS-0131,RES-004,WBS-002,2026-03-24,8.3,Approved
TS-0132,RES-004,WBS-002,2026-03-25,8.1,Approved
TS-0133,RES-004,WBS-002,2026-03-26,8.9,Approved
TS-0134,RES-004,WBS-002,2026-03-27,8.9,Approved
TS-0135,RES-004,WBS-002,2026-03-30,8.1,Approved
TS-0136,RES-004,WBS-002,2026-03-31,8.5,Approved
TS-0137,RES-004,WBS-002,2026-04-01,8.1,Approved
TS-0138,RES-004,WBS-002,2026-04-02,8.8,Approved
TS-0139,RES-004,WBS-002,2026-04-03,8.8,Approved
TS-0140,RES-004,WBS-002,2026-04-06,8.1,Approved
