Week,Week Date,Cum PV,Cum AC,Cum EV,CPI,SPI
1,2026-05-08 00:00:00,16400,16295.04,15087.994,0.925925557715722,0.9199996341463414
2,2026-05-15 00:00:00,39200,38949.12,36064.003600000004,0.9259260183542016,0.9200000918367348
3,2026-05-22 00:00:00,62000,61603.200000000004,57040,0.9259259259259258,0.92
4,2026-05-29 00:00:00,87066.67,86509.44000000002,80101.328,0.925925864275621,0.9199999035222088
5,2026-06-05 00:00:00,116733.34,115986.24000000002,107394.674,0.9259259891518165,0.9200000102798396
6,2026-06-12 00:00:00,142900,141985.44,131467.996,0.9259258977540233,0.9199999720083976
7,2026-06-19 00:00:00,160400,141985.44,131467.996,0.9259258977540233,0.819625910224439
8,2026-06-26 00:00:00,189816.67,141985.44,131467.996,0.9259258977540233,0.6926051120799875
9,2026-07-03 00:00:00,220233.34000000003,141985.44,131467.996,0.9259258977540233,0.5969486545497608
10,2026-07-10 00:00:00,243650.00000000003,141985.44,131467.996,0.9259258977540233,0.5395772460496614
11,2026-07-17 00:00:00,259350.00000000003,141985.44,131467.996,0.9259258977540233,0.50691342201658
12,2026-07-24 00:00:00,268650,141985.44,131467.996,0.9259258977540233,0.4893653303554812
