Date,WBS_ID,Resource_ID,Actual_Cost,Hours_Worked
2026-05-04 00:00:00,WBS-01,R01,320,0.21
2026-05-05 00:00:00,WBS-01,R01,320,0.21
2026-05-06 00:00:00,WBS-01,R01,320,0.21
2026-05-07 00:00:00,WBS-01,R01,320,0.21
2026-05-08 00:00:00,WBS-01,R01,320,0.21
2026-05-04 00:00:00,WBS-02,R04,1740,0.79
2026-05-05 00:00:00,WBS-02,R04,1740,0.79
2026-05-06 00:00:00,WBS-02,R04,1740,0.79
2026-05-07 00:00:00,WBS-02,R04,1740,0.79
2026-05-08 00:00:00,WBS-02,R04,1740,0.79
2026-05-04 00:00:00,WBS-03,R02,1199.01,0.5
2026-05-05 00:00:00,WBS-03,R02,1199.01,0.5
2026-05-06 00:00:00,WBS-03,R02,1199.01,0.5
2026-05-07 00:00:00,WBS-03,R02,1199.01,0.5
2026-05-08 00:00:00,WBS-03,R02,1199,0.5
2026-05-11 00:00:00,WBS-01,R01,320,0.21
2026-05-12 00:00:00,WBS-01,R01,320,0.21
2026-05-13 00:00:00,WBS-01,R01,320,0.21
2026-05-14 00:00:00,WBS-01,R01,320,0.21
2026-05-15 00:00:00,WBS-01,R01,320,0.21
2026-05-11 00:00:00,WBS-03,R02,1200,0.5
2026-05-12 00:00:00,WBS-03,R02,1200,0.5
2026-05-13 00:00:00,WBS-03,R02,1200,0.5
2026-05-14 00:00:00,WBS-03,R02,1200,0.5
2026-05-15 00:00:00,WBS-03,R02,1200,0.5
2026-05-13 00:00:00,WBS-04,R07,10500,0
2026-05-11 00:00:00,WBS-05,R04,910.82,0.41
2026-05-12 00:00:00,WBS-05,R04,910.82,0.41
2026-05-13 00:00:00,WBS-05,R04,910.82,0.41
2026-05-14 00:00:00,WBS-05,R04,910.82,0.41
2026-05-15 00:00:00,WBS-05,R04,910.8,0.41
2026-05-18 00:00:00,WBS-01,R01,320,0.21
2026-05-19 00:00:00,WBS-01,R01,320,0.21
2026-05-20 00:00:00,WBS-01,R01,320,0.21
2026-05-21 00:00:00,WBS-01,R01,320,0.21
2026-05-22 00:00:00,WBS-01,R01,320,0.21
2026-05-18 00:00:00,WBS-03,R02,1240,0.52
2026-05-19 00:00:00,WBS-03,R02,1240,0.52
2026-05-20 00:00:00,WBS-03,R02,1240,0.52
2026-05-21 00:00:00,WBS-03,R02,1240,0.52
2026-05-22 00:00:00,WBS-03,R02,1240,0.52
2026-05-20 00:00:00,WBS-04,R07,10200,0
2026-05-18 00:00:00,WBS-05,R04,930.82,0.42
2026-05-19 00:00:00,WBS-05,R04,930.82,0.42
2026-05-20 00:00:00,WBS-05,R04,930.82,0.42
2026-05-21 00:00:00,WBS-05,R04,930.82,0.42
2026-05-22 00:00:00,WBS-05,R04,930.8,0.42
2026-05-25 00:00:00,WBS-01,R01,320,0.21
2026-05-26 00:00:00,WBS-01,R01,320,0.21
2026-05-27 00:00:00,WBS-01,R01,320,0.21
2026-05-28 00:00:00,WBS-01,R01,320,0.21
2026-05-29 00:00:00,WBS-01,R01,320,0.21
2026-05-27 00:00:00,WBS-04,R07,10200,0
2026-05-25 00:00:00,WBS-05,R04,840,0.38
2026-05-26 00:00:00,WBS-05,R04,840,0.38
2026-05-27 00:00:00,WBS-05,R04,840,0.38
2026-05-28 00:00:00,WBS-05,R04,840,0.38
2026-05-29 00:00:00,WBS-05,R04,840,0.38
2026-05-25 00:00:00,WBS-06,R03,1781.25,0.69
2026-05-26 00:00:00,WBS-06,R03,1781.25,0.69
2026-05-27 00:00:00,WBS-06,R03,1781.25,0.69
2026-05-28 00:00:00,WBS-06,R03,1781.25,0.69
2026-05-29 00:00:00,WBS-06,R03,1781.24,0.69
2026-06-01 00:00:00,WBS-01,R01,320,0.21
2026-06-02 00:00:00,WBS-01,R01,320,0.21
2026-06-03 00:00:00,WBS-01,R01,320,0.21
2026-06-04 00:00:00,WBS-01,R01,320,0.21
2026-06-05 00:00:00,WBS-01,R01,320,0.21
2026-06-03 00:00:00,WBS-04,R07,10400,0
2026-06-01 00:00:00,WBS-06,R03,1760,0.68
2026-06-02 00:00:00,WBS-06,R03,1760,0.68
2026-06-03 00:00:00,WBS-06,R03,1760,0.68
2026-06-04 00:00:00,WBS-06,R03,1760,0.68
2026-06-05 00:00:00,WBS-06,R03,1760,0.68
2026-06-01 00:00:00,WBS-07,R08,1735.36,0
2026-06-02 00:00:00,WBS-07,R08,1735.36,0
2026-06-03 00:00:00,WBS-07,R08,1735.36,0
2026-06-04 00:00:00,WBS-07,R08,1735.36,0
2026-06-05 00:00:00,WBS-07,R08,1735.36,0
2026-06-08 00:00:00,WBS-01,R01,320,0.21
2026-06-09 00:00:00,WBS-01,R01,320,0.21
2026-06-10 00:00:00,WBS-01,R01,320,0.21
2026-06-11 00:00:00,WBS-01,R01,320,0.21
2026-06-12 00:00:00,WBS-01,R01,320,0.21
2026-06-08 00:00:00,WBS-06,R03,1700,0.65
2026-06-09 00:00:00,WBS-06,R03,1700,0.65
2026-06-10 00:00:00,WBS-06,R03,1700,0.65
2026-06-11 00:00:00,WBS-06,R03,1700,0.65
2026-06-12 00:00:00,WBS-06,R03,1700,0.65
2026-06-08 00:00:00,WBS-07,R08,1760,0
2026-06-09 00:00:00,WBS-07,R08,1760,0
2026-06-10 00:00:00,WBS-07,R08,1760,0
2026-06-11 00:00:00,WBS-07,R08,1760,0
2026-06-12 00:00:00,WBS-07,R08,1760,0
2026-06-08 00:00:00,WBS-08,R09,1419.84,0
2026-06-09 00:00:00,WBS-08,R09,1419.84,0
2026-06-10 00:00:00,WBS-08,R09,1419.84,0
2026-06-11 00:00:00,WBS-08,R09,1419.84,0
2026-06-12 00:00:00,WBS-08,R09,1419.84,0
