Date,WBS_ID,Planned_Value
2026-05-04 00:00:00,WBS-01,1500
2026-05-11 00:00:00,WBS-01,1500
2026-05-18 00:00:00,WBS-01,1500
2026-05-25 00:00:00,WBS-01,1500
2026-06-01 00:00:00,WBS-01,1500
2026-06-08 00:00:00,WBS-01,1500
2026-06-15 00:00:00,WBS-01,1500
2026-06-22 00:00:00,WBS-01,1500
2026-06-29 00:00:00,WBS-01,1500
2026-07-06 00:00:00,WBS-01,1500
2026-07-13 00:00:00,WBS-01,1500
2026-07-20 00:00:00,WBS-01,1500
2026-05-04 00:00:00,WBS-02,8500
2026-05-04 00:00:00,WBS-03,6400
2026-05-11 00:00:00,WBS-03,6400
2026-05-18 00:00:00,WBS-03,6400
2026-05-11 00:00:00,WBS-04,10500
2026-05-18 00:00:00,WBS-04,10500
2026-05-25 00:00:00,WBS-04,10500
2026-06-01 00:00:00,WBS-04,10500
2026-05-11 00:00:00,WBS-05,4400
2026-05-18 00:00:00,WBS-05,4400
2026-05-25 00:00:00,WBS-05,4400
2026-05-25 00:00:00,WBS-06,8666.67
2026-06-01 00:00:00,WBS-06,8666.67
2026-06-08 00:00:00,WBS-06,8666.66
2026-06-01 00:00:00,WBS-07,9000
2026-06-08 00:00:00,WBS-07,9000
2026-06-15 00:00:00,WBS-07,9000
2026-06-22 00:00:00,WBS-07,9000
2026-06-08 00:00:00,WBS-08,7000
2026-06-15 00:00:00,WBS-08,7000
2026-06-22 00:00:00,WBS-08,7000
2026-06-29 00:00:00,WBS-08,7000
2026-06-22 00:00:00,WBS-09,11916.67
2026-06-29 00:00:00,WBS-09,11916.67
2026-07-06 00:00:00,WBS-09,11916.66
2026-06-29 00:00:00,WBS-10,10000
2026-07-06 00:00:00,WBS-10,10000
2026-07-13 00:00:00,WBS-10,10000
2026-07-13 00:00:00,WBS-11,4200
2026-07-20 00:00:00,WBS-11,4200
2026-07-20 00:00:00,WBS-12,3600
