WBS ID,WBS Code,Task / Activity,Type,Baseline Start,Baseline Finish,Duration Days,BAC (NOK),PV @ Status,AC @ Status,Progress %,EV @ Status,SV,CV,SPI,CPI,EAC,ETC,VAC,Status
WBS-01,1,Project Management,Labor,2026-05-04 00:00:00,2026-07-26 00:00:00,84,18000,13500,9600,0.5,9000,-4500,-600,0.6666666666666666,0.9375,19200,9600,-1200,Red
WBS-02,2,Site Survey & Mobilization,Labor,2026-05-04 00:00:00,2026-05-10 00:00:00,7,8500,8500,8700,1,8500,0,-200,1,0.9770114942528736,8700,0,-200,Red
WBS-03,3,Design & Engineering,Labor,2026-05-04 00:00:00,2026-05-24 00:00:00,21,19200,19200,18195.04,1,19200,0,1004.9599999999991,1,1.055232634827953,18195.04,0,1004.9599999999991,Green
WBS-04,4,Procurement - Materials,Material,2026-05-11 00:00:00,2026-06-07 00:00:00,28,42000,42000,41300,1,42000,0,700,1,1.0169491525423728,41300,0,700,Green
WBS-05,5,Demolition & Prep,Labor,2026-05-11 00:00:00,2026-05-31 00:00:00,21,13200,13200,13408.159999999998,1,13200,0,-208.15999999999804,1,0.9844751255951601,13408.159999999998,0,-208.15999999999804,Red
WBS-06,6,Electrical Rough-In,Labor,2026-05-25 00:00:00,2026-06-14 00:00:00,21,26000,26000,26206.239999999998,0.7,18200,-7800,-8006.239999999998,0.7,0.6944910830397646,37437.485714285714,11231.245714285717,-11437.485714285714,Red
WBS-07,7,HVAC Installation,Subcontractor,2026-06-01 00:00:00,2026-06-28 00:00:00,28,36000,36000,17476.8,0.4,14400,-21600,-3076.7999999999993,0.4,0.8239494644328481,43692,26215.2,-7692,Red
WBS-08,8,Partitions & Drywall,Subcontractor,2026-06-08 00:00:00,2026-07-05 00:00:00,28,28000,28000,7099.2,0.248857,6967.996,-21032.004,-131.20399999999972,0.248857,0.9815184809556007,28527.22647946411,21428.026479464108,-527.2264794641087,Red
WBS-09,9,Flooring,Material,2026-06-22 00:00:00,2026-07-12 00:00:00,21,35750,23833.34,0,0,0,-23833.34,0,0,1,35750,35750,0,Red
WBS-10,10,Fixtures & Furniture,Material,2026-06-29 00:00:00,2026-07-19 00:00:00,21,30000,10000,0,0,0,-10000,0,0,1,30000,30000,0,Red
WBS-11,11,Testing / Commissioning,Labor,2026-07-13 00:00:00,2026-07-26 00:00:00,14,8400,0,0,0,0,0,0,1,1,8400,8400,0,Green
WBS-12,12,Handover & Closeout,Labor,2026-07-20 00:00:00,2026-07-26 00:00:00,7,3600,0,0,0,0,0,0,1,1,3600,3600,0,Green
