WBS_ID,WBS_Code,Activity_Name,Type,Total_Budget
WBS-01,1.0,Project Management,Labor,18000.0
WBS-02,2.0,Site Survey & Mobilization,Labor,8500.0
WBS-03,3.0,Design & Engineering,Labor,19200.0
WBS-04,4.0,Procurement - Materials,Material,42000.0
WBS-05,5.0,Demolition & Prep,Labor,13200.0
WBS-06,6.0,Electrical Rough-In,Labor,26000.0
WBS-07,7.0,HVAC Installation,Subcontractor,36000.0
WBS-08,8.0,Partitions & Drywall,Subcontractor,28000.0
WBS-09,9.0,Flooring,Material,35750.0
WBS-10,10.0,Fixtures & Furniture,Material,30000.0
WBS-11,11.0,Testing / Commissioning,Labor,8400.0
WBS-12,12.0,Handover & Closeout,Labor,3600.0
