Date,WBS_ID,Resource_ID,Actual_Cost,Hours_Worked
2026-05-04,WBS-01,R01,320.0,0.21
2026-05-05,WBS-01,R01,320.0,0.21
2026-05-06,WBS-01,R01,320.0,0.21
2026-05-07,WBS-01,R01,320.0,0.21
2026-05-08,WBS-01,R01,320.0,0.21
2026-05-04,WBS-02,R04,1740.0,0.79
2026-05-05,WBS-02,R04,1740.0,0.79
2026-05-06,WBS-02,R04,1740.0,0.79
2026-05-07,WBS-02,R04,1740.0,0.79
2026-05-08,WBS-02,R04,1740.0,0.79
2026-05-04,WBS-03,R02,1199.01,0.5
2026-05-05,WBS-03,R02,1199.01,0.5
2026-05-06,WBS-03,R02,1199.01,0.5
2026-05-07,WBS-03,R02,1199.01,0.5
2026-05-08,WBS-03,R02,1199.0,0.5
2026-05-11,WBS-01,R01,320.0,0.21
2026-05-12,WBS-01,R01,320.0,0.21
2026-05-13,WBS-01,R01,320.0,0.21
2026-05-14,WBS-01,R01,320.0,0.21
2026-05-15,WBS-01,R01,320.0,0.21
2026-05-11,WBS-03,R02,1200.0,0.5
2026-05-12,WBS-03,R02,1200.0,0.5
2026-05-13,WBS-03,R02,1200.0,0.5
2026-05-14,WBS-03,R02,1200.0,0.5
2026-05-15,WBS-03,R02,1200.0,0.5
2026-05-13,WBS-04,R07,10500.0,0.0
2026-05-11,WBS-05,R04,910.82,0.41
2026-05-12,WBS-05,R04,910.82,0.41
2026-05-13,WBS-05,R04,910.82,0.41
2026-05-14,WBS-05,R04,910.82,0.41
2026-05-15,WBS-05,R04,910.8,0.41
2026-05-18,WBS-01,R01,320.0,0.21
2026-05-19,WBS-01,R01,320.0,0.21
2026-05-20,WBS-01,R01,320.0,0.21
2026-05-21,WBS-01,R01,320.0,0.21
2026-05-22,WBS-01,R01,320.0,0.21
2026-05-18,WBS-03,R02,1240.0,0.52
2026-05-19,WBS-03,R02,1240.0,0.52
2026-05-20,WBS-03,R02,1240.0,0.52
2026-05-21,WBS-03,R02,1240.0,0.52
2026-05-22,WBS-03,R02,1240.0,0.52
2026-05-20,WBS-04,R07,10200.0,0.0
2026-05-18,WBS-05,R04,930.82,0.42
2026-05-19,WBS-05,R04,930.82,0.42
2026-05-20,WBS-05,R04,930.82,0.42
2026-05-21,WBS-05,R04,930.82,0.42
2026-05-22,WBS-05,R04,930.8,0.42
2026-05-25,WBS-01,R01,320.0,0.21
2026-05-26,WBS-01,R01,320.0,0.21
2026-05-27,WBS-01,R01,320.0,0.21
2026-05-28,WBS-01,R01,320.0,0.21
2026-05-29,WBS-01,R01,320.0,0.21
2026-05-27,WBS-04,R07,10200.0,0.0
2026-05-25,WBS-05,R04,840.0,0.38
2026-05-26,WBS-05,R04,840.0,0.38
2026-05-27,WBS-05,R04,840.0,0.38
2026-05-28,WBS-05,R04,840.0,0.38
2026-05-29,WBS-05,R04,840.0,0.38
2026-05-25,WBS-06,R03,1781.25,0.69
2026-05-26,WBS-06,R03,1781.25,0.69
2026-05-27,WBS-06,R03,1781.25,0.69
2026-05-28,WBS-06,R03,1781.25,0.69
2026-05-29,WBS-06,R03,1781.24,0.69
2026-06-01,WBS-01,R01,320.0,0.21
2026-06-02,WBS-01,R01,320.0,0.21
2026-06-03,WBS-01,R01,320.0,0.21
2026-06-04,WBS-01,R01,320.0,0.21
2026-06-05,WBS-01,R01,320.0,0.21
2026-06-03,WBS-04,R07,10400.0,0.0
2026-06-01,WBS-06,R03,1760.0,0.68
2026-06-02,WBS-06,R03,1760.0,0.68
2026-06-03,WBS-06,R03,1760.0,0.68
2026-06-04,WBS-06,R03,1760.0,0.68
2026-06-05,WBS-06,R03,1760.0,0.68
2026-06-01,WBS-07,R08,1735.36,0.0
2026-06-02,WBS-07,R08,1735.36,0.0
2026-06-03,WBS-07,R08,1735.36,0.0
2026-06-04,WBS-07,R08,1735.36,0.0
2026-06-05,WBS-07,R08,1735.36,0.0
2026-06-08,WBS-01,R01,320.0,0.21
2026-06-09,WBS-01,R01,320.0,0.21
2026-06-10,WBS-01,R01,320.0,0.21
2026-06-11,WBS-01,R01,320.0,0.21
2026-06-12,WBS-01,R01,320.0,0.21
2026-06-08,WBS-06,R03,1700.0,0.65
2026-06-09,WBS-06,R03,1700.0,0.65
2026-06-10,WBS-06,R03,1700.0,0.65
2026-06-11,WBS-06,R03,1700.0,0.65
2026-06-12,WBS-06,R03,1700.0,0.65
2026-06-08,WBS-07,R08,1760.0,0.0
2026-06-09,WBS-07,R08,1760.0,0.0
2026-06-10,WBS-07,R08,1760.0,0.0
2026-06-11,WBS-07,R08,1760.0,0.0
2026-06-12,WBS-07,R08,1760.0,0.0
2026-06-08,WBS-08,R09,1419.84,0.0
2026-06-09,WBS-08,R09,1419.84,0.0
2026-06-10,WBS-08,R09,1419.84,0.0
2026-06-11,WBS-08,R09,1419.84,0.0
2026-06-12,WBS-08,R09,1419.84,0.0
