Date,WBS_ID,Planned_Value
2026-05-04,WBS-01,1500.0
2026-05-11,WBS-01,1500.0
2026-05-18,WBS-01,1500.0
2026-05-25,WBS-01,1500.0
2026-06-01,WBS-01,1500.0
2026-06-08,WBS-01,1500.0
2026-06-15,WBS-01,1500.0
2026-06-22,WBS-01,1500.0
2026-06-29,WBS-01,1500.0
2026-07-06,WBS-01,1500.0
2026-07-13,WBS-01,1500.0
2026-07-20,WBS-01,1500.0
2026-05-04,WBS-02,8500.0
2026-05-04,WBS-03,6400.0
2026-05-11,WBS-03,6400.0
2026-05-18,WBS-03,6400.0
2026-05-11,WBS-04,10500.0
2026-05-18,WBS-04,10500.0
2026-05-25,WBS-04,10500.0
2026-06-01,WBS-04,10500.0
2026-05-11,WBS-05,4400.0
2026-05-18,WBS-05,4400.0
2026-05-25,WBS-05,4400.0
2026-05-25,WBS-06,8666.67
2026-06-01,WBS-06,8666.67
2026-06-08,WBS-06,8666.66
2026-06-01,WBS-07,9000.0
2026-06-08,WBS-07,9000.0
2026-06-15,WBS-07,9000.0
2026-06-22,WBS-07,9000.0
2026-06-08,WBS-08,7000.0
2026-06-15,WBS-08,7000.0
2026-06-22,WBS-08,7000.0
2026-06-29,WBS-08,7000.0
2026-06-22,WBS-09,11916.67
2026-06-29,WBS-09,11916.67
2026-07-06,WBS-09,11916.66
2026-06-29,WBS-10,10000.0
2026-07-06,WBS-10,10000.0
2026-07-13,WBS-10,10000.0
2026-07-13,WBS-11,4200.0
2026-07-20,WBS-11,4200.0
2026-07-20,WBS-12,3600.0
